date,stock_price
2021-01-04,50.95496368408203
2021-01-05,51.02281188964844
2021-01-06,50.776851654052734
2021-01-07,50.980403900146484
2021-01-08,50.03899383544922
2021-01-11,49.80152130126953
2021-01-12,50.06444549560547
2021-01-13,50.79381561279297
2021-01-14,50.85319137573242
2021-01-15,51.31964874267578
2021-01-19,51.921810150146484
2021-01-20,52.0914421081543
2021-01-21,53.38056945800781
2021-01-22,50.887107849121094
2021-01-25,51.89636993408203
2021-01-26,55.00896453857422
2021-01-27,60.827064514160156
2021-01-28,56.527095794677734
2021-01-29,56.07759475708008
2021-02-01,56.60343551635742
2021-02-02,56.637351989746094
2021-02-03,57.21407699584961
2021-02-04,57.4345817565918
2021-02-05,58.89335632324219
2021-02-08,60.56415557861328
2021-02-09,61.3698616027832
2021-02-10,60.20793533325195
2021-02-11,61.45467758178711
2021-02-12,61.242637634277344
2021-02-16,60.21640396118164
2021-02-17,60.56415557861328
2021-02-18,61.463157653808594
2021-02-19,62.0313835144043
2021-02-22,62.31974411010742
2021-02-23,61.242637634277344
2021-02-24,63.049129486083984
2021-02-25,61.785423278808594
2021-02-26,62.10772705078125
2021-03-01,62.5996208190918
2021-03-02,61.50554656982422
2021-03-03,64.4061279296875
2021-03-04,60.7337532043457
2021-03-05,62.23494338989258
2021-03-08,63.2357177734375
2021-03-09,63.736114501953125
2021-03-10,63.54951858520508
2021-03-11,65.51715087890625
2021-03-12,65.11853790283203
2021-03-15,63.95661926269531
2021-03-16,64.01598358154297
2021-03-17,66.13626098632812
2021-03-18,62.65052032470703
2021-03-19,63.295082092285156
2021-03-22,64.4061279296875
2021-03-23,62.12147521972656
2021-03-24,61.034786224365234
2021-03-25,62.44664764404297
2021-03-26,65.04786682128906
2021-03-29,64.37188720703125
2021-03-30,64.7740707397461
2021-03-31,65.6725082397461
2021-04-01,67.1613540649414
2021-04-05,67.76891326904297
2021-04-06,67.3581771850586
2021-04-07,67.56352996826172
2021-04-08,68.45343017578125
2021-04-09,68.90692901611328
2021-04-12,68.37640380859375
2021-04-13,68.43631744384766
2021-04-14,68.6930160522461
2021-04-15,69.59147644042969
2021-04-16,70.22465515136719
2021-04-19,70.44712829589844
2021-04-20,70.51557159423828
2021-04-21,71.77340698242188
2021-04-22,71.9445571899414
2021-04-23,76.28279876708984
2021-04-26,79.80813598632812
2021-04-27,80.62957000732422
2021-04-28,81.45956420898438
2021-04-29,82.85430908203125
2021-04-30,79.440185546875
2021-05-03,78.37916564941406
2021-05-04,75.70948791503906
2021-05-05,75.66670989990234
2021-05-06,77.00155639648438
2021-05-07,78.34493255615234
2021-05-10,77.00155639648438
2021-05-11,74.79461669921875
2021-05-12,72.76872253417969
2021-05-13,75.11357116699219
2021-05-14,84.45860290527344
2021-05-17,89.85526275634766
2021-05-18,87.21727752685547
2021-05-19,85.82931518554688
2021-05-20,83.46720123291016
2021-05-21,80.96713256835938
