category,brand,name,price,avg_rating,num_ratings
Makeup,NYX Professional Makeup,Slim Lip Pencil,$6.00,4.3,4764.0
Makeup,Benefit Cosmetics,24-HR Brow Setter Clear Brow Gel with Lamination Effect,$16.00 - $28.00,4.5,2948.0
Makeup,Benefit Cosmetics,The POREfessional Pore Minimizing Primer,$16.00 - $59.00,4.4,8457.0
Makeup,Benefit Cosmetics,Mighty Fine Brow Pen,$28.00,4.4,1175.0
Makeup,NYX Professional Makeup,Epic Ink Waterproof Liquid Eyeliner,$10.00,4.2,5180.0
Makeup,e.l.f. Cosmetics,Glow Reviver Lip Oil,$9.00,4.7,11600.0
Makeup,Laura Mercier,Translucent Loose Setting Powder,$43.00,4.7,11453.0
Makeup,e.l.f. Cosmetics,Hydrating Camo Concealer,$8.00,4.4,8099.0
Makeup,NARS,Natural Radiant Longwear Foundation,$55.00,4.0,1966.0
Makeup,Tarte,Face Tape Full Coverage Foundation,$42.00,4.1,5731.0
Makeup,FENTY BEAUTY by Rihanna,Gloss Bomb Universal Lip Luminizer,$23.00,4.5,583.0
Makeup,Benefit Cosmetics,Goof Proof Waterproof Easy Shape & Fill Eyebrow Pencil,$28.00,4.6,3770.0
Makeup,MAC,Lipglass Cushion High-Pigment Lip Oil,$25.00,4.6,209.0
Makeup,MAC,Color Excess Gel Pencil Waterproof Eyeliner,$25.00,4.4,962.0
Makeup,BOBBI BROWN,Vitamin Enriched Face Base Moisturizer & Primer with Vitamin C + Hyaluronic Acid,$25.00 - $113.00,4.7,3233.0
Makeup,Live Tinted,Hueguard Skin Tint SPF 50 Mineral Sunscreen Broad Spectrum,$42.00,4.1,568.0
Makeup,Clinique,Even Better Clinical Vitamin Makeup Broad Spectrum SPF 45 Foundation,$36.00,4.3,560.0
Makeup,Maybelline,Fit Me Matte + Poreless Powder,$11.99,4.4,1485.0
Makeup,Estée Lauder,Futurist Hydra Rescue Moisturizing Foundation SPF 45,$55.00,4.3,5260.0
Makeup,Rare Beauty,Warm Wishes Effortless Bronzer Stick,$30.00,4.9,1816.0
Makeup,e.l.f. Cosmetics,Glow Reviver Melting Lip Balm,$9.00,4.7,2741.0
Makeup,Clinique,Even Better Clinical Serum Foundation Broad Spectrum SPF 25,$36.00,4.2,4443.0
Makeup,BOBBI BROWN,Long-Wear Waterproof Cream Eyeshadow Stick,$34.00,4.5,1262.0
Makeup,ULTA Beauty Collection,Eyeshadow Singles,$9.00,4.2,2804.0
Makeup,L'Oréal,Telescopic Original Washable Mascara,$14.99,4.1,3125.0
Makeup,Benefit Cosmetics,Hoola Matte Powder Bronzer,$36.00,4.5,3268.0
Makeup,ILIA,Limitless Lash Lengthening Mascara,$29.00,4.6,6323.0
Makeup,e.l.f. Cosmetics,Halo Glow Liquid Filter,$15.00,4.5,9956.0
Makeup,Clinique,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$11.25 - $27.00,4.7,2913.0
Makeup,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,$53.00,4.7,3476.0
Makeup,Clinique,Quickliner For Eyes Intense Eyeliner,$21.75,4.1,1560.0
Makeup,Charlotte Tilbury,Lip Cheat Long-Lasting Waterproof Lip Liner,$28.00,4.7,701.0
Makeup,NARS,Mini Radiant Creamy Concealer,$17.00,4.6,7030.0
Makeup,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss,$6.00,4.5,7433.0
Makeup,FENTY BEAUTY by Rihanna,Soft'Lit Naturally Luminous Hydrating Longwear Foundation,$44.00,4.5,1654.0
Makeup,Clinique,High Impact Volumizing Mascara,$20.25,4.5,4426.0
Makeup,Laura Mercier,Translucent Loose Setting Powder Ultra-Blur,$48.00,4.6,1898.0
Makeup,Clinique,Stay-Matte Sheer Pressed Powder Foundation,$30.75,4.6,1580.0
Makeup,Rare Beauty,Brow Harmony Flexible Lifting Gel,$21.00,4.9,543.0
Makeup,Charlotte Tilbury,Airbrush Flawless Long-Wear Blur Concealer,$36.00,4.7,794.0
Makeup,Juvia's Place,Blushed Duo,$20.00,4.8,600.0
Makeup,Morphe,Bake & Set Setting Powder,$9.60 - $16.00,4.6,1753.0
Makeup,Morphe,Best of Blends 8-Piece Face & Eye Brush Set,$42.00,4.8,120.0
Makeup,L'Oréal,Blurfiller Blurring Lip Contour,$12.99,4.5,282.0
Makeup,Clinique,Moisture Surge Sheertint Hydrator Broad Spectrum SPF 25 Tinted Moisturizer,$34.50,3.8,558.0
Makeup,Real Techniques,Full Beat Makeup Brush Set,$25.00,4.7,82.0
Makeup,Benefit Cosmetics,The POREfessional Blurring & Smoothing Foundation with Niacinamide,$47.00,4.3,3146.0
Makeup,Morphe,ChromaPlus 6-Pan Eyeshadow Palette,$16.00,4.7,911.0
Makeup,MILK MAKEUP,Hydro Grip Hydrating Makeup Primer with Hyaluronic Acid + Niacinamide,$20.00 - $38.00,4.7,1626.0
Makeup,L'Oréal,Extensionist Lengthening and Curling Washable Mascara,$15.99,4.3,457.0
Makeup,NYX Professional Makeup,Buttermelt Pressed Powder Blush,$11.00,4.5,1417.0
Makeup,Morphe,Portrait Mode 5-Piece Face Brush Set,$33.00,4.6,95.0
Makeup,e.l.f. Cosmetics,Power Grip Primer + 4% Niacinamide,$11.00,4.0,374.0
Makeup,Morphe,Buttery Blends 6-Piece Travel Brush Set,$30.00,4.9,364.0
Makeup,FENTY BEAUTY by Rihanna,Diamond Bomb All-Over Diamond Veil,$43.00,4.4,320.0
Makeup,Essence,Lash Princess False Lash Effect Mascara,$4.99,4.2,7222.0
Makeup,Morphe,Micro Brow Dual-Ended Pencil & Spoolie,$11.00,4.5,1169.0
Makeup,Anastasia Beverly Hills,"DIPBROW Waterproof, Smudge Proof Brow Pomade",$25.00,4.7,31769.0
Makeup,Stila,Stay All Day Smudge & Set Waterproof Gel Eye Liner,$24.00,4.7,2290.0
Makeup,Urban Decay Cosmetics,24/7 Liquid Stick Retractable Waterproof Gel Eyeliner + Brush,$26.00,4.6,2386.0
Makeup,bareMinerals,ORIGINAL Loose Matte Talc-Free Mineral Powder Foundation SPF 15 ​,$39.50,4.5,7248.0
Makeup,NYX Professional Makeup,Suede Matte Lip Liner Velvet Soft Vegan Lip Pencil,$6.00,4.2,1846.0
Makeup,Morphe,Signature Lip Pencil,$7.00,4.8,581.0
Makeup,Juvia's Place,Bronzed Duo,$24.00,4.8,429.0
Makeup,Tarte,Shape Tape Blur Concealer Stick,$32.00,3.6,258.0
Makeup,Buxom,Full-On Plumping Lip Polish,$25.00 - $26.00,4.7,4435.0
