category,brand,name,price,avg_rating,num_ratings
Wellness,Lemme,Curb: Glucose & Cravings Support Capsules,$40.00,4.3,848.0
Wellness,BeautyBio,GLOfacial Hydro-Infusion Pore Cleansing + Blue LED Clarifying Tool,$99.50,4.2,1464.0
Wellness,Solawave,4-in-1 Radiant Renewal Skincare Wand,$169.00,4.7,602.0
Wellness,Lemme,Fiber: Fiber & Probiotic Gummies,$30.00,4.5,48.0
Wellness,NuFACE,MINI+ Smart Petite Microcurrent Starter Kit,$250.00,4.3,328.0
Wellness,Therabody,TheraFace Depuffing Wand Heat & Cold Eye Massager,$169.99,4.4,36.0
Wellness,TheraBreath,Invigorating Icy Mint Fresh Breath Oral Rinse,$10.99 - $17.99,4.6,597.0
Wellness,Divi,Hair Growth Vitamins,$78.00,5.0,3.0
Wellness,Cymbiotika,Liposomal NAD+,$34.99,4.8,40.0
Wellness,Love Wellness,Bye Bye Bloat: Debloating Capsules,$8.99 - $24.99,4.7,5087.0
Wellness,Earth Therapeutics,Soothing Facial Roller Rose Quartz Stone,$20.00,4.5,8.0
Wellness,Fur,Ingrown Eliminator Serum,$37.00,4.5,357.0
Wellness,Grüns,Adults Superfood Greens Multivitamin Gummies,$8.99 - $29.99,2.9,7.0
Wellness,Viviscal,Hair Growth Supplements For Women,$45.99 - $129.99,3.5,4020.0
Wellness,Heritage Store,Rosewater Refreshing Facial Mist,$10.99 - $11.99,4.4,160.0
Wellness,Sleepy Tie,Satin Sleep LuxeBonnet,$26.99,2.4,10.0
Wellness,Patchology,FlashPatch Restoring Night Eye Gels,$5.00 - $65.00,4.4,831.0
Wellness,Kitsch,Black Satin Sleep Bonnet,$22.00,4.4,304.0
Wellness,GuruNanda,Whitening Strips - 7 Day Treatment,$9.99,3.9,15.0
Wellness,NUTRAFOL,Postpartum OBGYN-Formulated Hair Growth Supplement,$88.00,4.7,49.0
Wellness,Heritage Store,Rosewater & Glycerin Hydrating Facial Mist,$12.49,4.2,80.0
Wellness,TheraBreath,Healthy Gums Oral Rinse,$12.99 - $19.99,4.6,315.0
Wellness,Kitsch,Satin King Pillowcase,$25.00,4.9,12783.0
Wellness,DERMA E,Vitamin C Bright Eyes Hydro Gel Patches,$27.00,3.9,423.0
Wellness,Pixi,BeautifEYE Brightening Eye Patches with Vitamin C,$24.00,4.2,62.0
Wellness,Sugarbear,Hair Vitamin Vegan Kosher Gummy Multivitamin + Extra Strength Biotin,$28.99,4.9,8938.0
Wellness,SeroVital,HGH-Boosting Dietary Supplement,$99.00,4.5,8252.0
