category,brand,name,price,avg_rating,num_ratings
Lip Makeup,MAC,Lip Liner Pencil,$25.00,4.7,2007.0
Lip Makeup,MAC,M·A·Cximal Silky Matte Lipstick,$25.00,4.6,1677.0
Lip Makeup,Clinique,Almost Lipstick,$18.75,4.5,3311.0
Lip Makeup,NYX Professional Makeup,Lingerie Lip Liner Stain,$12.00,4.2,702.0
Lip Makeup,MAC,M·A·Cximal Sleek Satin Lipstick,$25.00,4.6,1310.0
Lip Makeup,OLEHENRIKSEN,Pout Preserve Hydrating Peptide Lip Treatment,$12.00 - $24.00,4.5,977.0
Lip Makeup,SACHEU,Peel Off Lip Liner STAY-N,$14.00,4.4,4845.0
Lip Makeup,Benefit Cosmetics,Benetint Liquid Lip & Cheek Stain,$28.00,4.2,2999.0
Lip Makeup,NYX Professional Makeup,Slim Lip Pencil,$6.00,4.3,4764.0
Lip Makeup,e.l.f. Cosmetics,Glow Reviver Lip Oil,$9.00,4.7,11600.0
Lip Makeup,MAC,Lipglass Cushion High-Pigment Lip Oil,$25.00,4.6,209.0
Lip Makeup,FENTY BEAUTY by Rihanna,Gloss Bomb Universal Lip Luminizer,$23.00,4.5,583.0
Lip Makeup,e.l.f. Cosmetics,Glow Reviver Melting Lip Balm,$9.00,4.7,2741.0
Lip Makeup,Charlotte Tilbury,Lip Cheat Long-Lasting Waterproof Lip Liner,$28.00,4.7,701.0
Lip Makeup,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss,$6.00,4.5,7433.0
Lip Makeup,L'Oréal,Blurfiller Blurring Lip Contour,$12.99,4.5,282.0
Lip Makeup,NYX Professional Makeup,Suede Matte Lip Liner Velvet Soft Vegan Lip Pencil,$6.00,4.2,1846.0
Lip Makeup,Morphe,Signature Lip Pencil,$7.00,4.8,581.0
Lip Makeup,Buxom,Full-On Plumping Lip Polish,$25.00 - $26.00,4.7,4435.0
Lip Makeup,NYX Professional Makeup,Jelly Job Lip Gloss,$12.00,4.6,1278.0
Lip Makeup,KYLIE COSMETICS,Glossy Lip Kit,$35.00,4.7,860.0
Lip Makeup,Clinique,Quickliner For Lips Lip Liner,$18.75,4.4,683.0
Lip Makeup,FENTY BEAUTY by Rihanna,Gloss Bomb Stix High-Shimmer Gloss Stick,$26.00,4.6,1066.0
Lip Makeup,KYLIE COSMETICS,Matte Lip Kit,$35.00,3.7,4785.0
Lip Makeup,KYLIE COSMETICS,Lip Butter,$21.00,4.5,1377.0
Lip Makeup,Clinique,Pop Longwear Lipstick,$19.50,4.2,221.0
Lip Makeup,NYX Professional Makeup,Lip IV Hydrating Gloss Stain,$12.00,4.5,1273.0
Lip Makeup,Rare Beauty,Soft Pinch Tinted Lip Oil,$24.00,4.8,2102.0
Lip Makeup,MAC,Lustreglass Sheer-Shine Lipstick,$27.00,4.6,2821.0
Lip Makeup,FENTY BEAUTY by Rihanna,Gloss Bomb Stix High-Shine Gloss Stick,$26.00,4.6,707.0
Lip Makeup,Charlotte Tilbury,Matte Revolution Hydrating Lipstick,$37.00 - $39.00,4.6,497.0
Lip Makeup,e.l.f. Cosmetics,Glow Reviver Slipstick,$10.00,4.8,352.0
Lip Makeup,TATCHA,The Melting Lip Balm Volumizing & Restorative Peptide Treatment,$29.00,4.9,175.0
Lip Makeup,SACHEU,Peel Off Lip Liner STAY-N Bundle,$35.00,4.4,4845.0
Lip Makeup,MAC,Lipglass High Shine Lip Gloss,$24.00,4.5,1422.0
Lip Makeup,e.l.f. Cosmetics,Cream Glide Lip Liner,$3.00,4.7,3584.0
Lip Makeup,MAC,Powder Kiss Hazy Matte Lipstick,$27.00,4.7,632.0
Lip Makeup,FENTY BEAUTY by Rihanna,Trace'd Out Pencil Lip Liner,$22.00,4.2,386.0
Lip Makeup,NYX Professional Makeup,Lip Lingerie XXL Long-Lasting Matte Liquid Lipstick,$11.00,4.2,1384.0
Lip Makeup,NYX Professional Makeup,Line Loud Longwear Lip Liner,$8.00,4.3,762.0
Lip Makeup,NYX Professional Makeup,Fat Oil Lip Drip Lip Oil,$10.00,4.5,3410.0
Lip Makeup,Clinique,Chubby Stick Moisturizing Lip Color Tinted Lip Balm,$19.50,4.6,3736.0
Lip Makeup,FENTY BEAUTY by Rihanna,Gloss Bomb Heat Universal Lip Luminizer + Plumper,$26.00,4.2,450.0
Lip Makeup,Morphe,Lip Filter Hydroplump Soft Matte Lipstick,$15.00,4.5,416.0
Lip Makeup,ILIA,Multi-Stick Cream Blush + Highlighter + Lip Tint,$36.00,4.6,2353.0
Lip Makeup,Clinique,Dramatically Different Lipstick Shaping Lip Colour,$21.75,3.7,863.0
