category,brand,name,price,avg_rating,num_ratings
Tools,Shark Beauty,ChillPill: 3-in-1 Cooling System With Fan,$149.99,4.9,31.0
Tools,ULTA Beauty Collection,Travel Essentials Brush Set,$30.00,4.3,34.0
Tools,ULTA Beauty Collection,Premium Round Cotton Pads,$3.49,4.4,29.0
Tools,BaBylissPRO,Nano Titanium Portofino Dryer,$149.99,4.3,415.0
Tools,Conair,InfinitiPRO By Conair Curl Secret Auto Curler,$129.99 - $159.99,4.5,398.0
Tools,EcoTools,Makeup Brush + Sponge Shampoo,$10.00 - $20.00,4.6,1474.0
Tools,Morphe,M243 Slanted Cream & Liquid Contour Brush,$15.00,4.9,18.0
Tools,Bio Ionic,10X 1” Pro Hair Styling Iron,$262.00,4.8,261.0
Tools,Drybar,The Half Shot Small Round Blow-Dryer Brush,$155.00,4.0,221.0
Tools,Sweet & Shimmer,Makeup Sponge Duo,$4.99,4.7,3.0
Tools,CHI,Round 3-In-1 Blowout Brush Dryer,$109.99,3.2,138.0
Tools,ULTA Beauty Collection,Velour Powder Puff Trio,$8.49,4.3,24.0
Tools,BaBylissPRO,Professional Nano Light Ionic Dryer,$199.99,3.6,25.0
Tools,Morphe,M133 Domed Concealer Brush,$11.00,4.9,55.0
Tools,Conair,InfinitiPRO By Conair FLOMOTION Pro Dryer,$64.99,4.5,281.0
Tools,HOURGLASS,Vanish Seamless Finish Concealer Brush,$42.00,4.8,69.0
Tools,Conair,Rose Gold Thermal Curl Brush,$74.99,3.5,40.0
Tools,Drybar,The Double Shot Oval Blow-Dryer Brush,$155.00,4.0,830.0
Tools,Real Techniques,Ultimate Multi-Tasker Brush,$15.00,4.3,6.0
Tools,Hot Tools,Pro Artist Black Gold Digital Curling Iron,$69.99,3.5,370.0
Tools,Tarte,The Buffer Foundation Brush,$39.00,4.4,65.0
Tools,Shark Beauty,SilkiPro Straight Wet to Dry Straightener + Rapid Blow Dryer,$249.99,4.9,29.0
Tools,L'ange,Le Ceramique Luxe Digital 1-Pass Flat Iron,$99.00,4.8,573.0
Tools,ULTA Beauty Collection,Tweezer & Mirrored Case,$10.00,4.4,373.0
Tools,Real Techniques,Bubble Blending Multipurpose Makeup Brush,$12.50,4.6,73.0
Tools,Morphe,M202 Slanted Blush Brush,$13.00,4.8,52.0
Tools,e.l.f. Cosmetics,Pro Eyelash Curler,$6.00,3.5,535.0
Tools,Conair,InfinitiPRO DigitalAIRE 2.0,$149.99,4.8,249.0
Tools,CHI,"Lava 4D 1"" Hairstyling Iron",$179.99,3.8,11.0
Tools,Conair,InfinitiPRO DigitalAIRE Hair Dryer,$146.99,4.3,385.0
Tools,Conair,InfinitiPRO DigitalAIRE Styling System,$164.99,4.1,224.0
Tools,BaBylissPRO,Nano Titanium Vented Straightening Iron,$179.99,4.5,188.0
Tools,T3,AireBrush One-Step Smoothing and Volumizing Hair Dryer Brush,$104.99,4.3,286.0
Tools,L'ange,Multi-Volume Series 2-in-1 Interchangeable Brush Dryer,$69.30 - $99.00,4.4,451.0
Tools,e.l.f. Cosmetics,Flawless Face 6 Piece Brush Collection,$16.00,4.1,94.0
Tools,BaBylissPRO,Mini Straightening Iron with Travel Pouch,$44.99,3.9,268.0
Tools,T3,Curling Straightener 2-in-1 Styling Iron,$199.99,4.4,71.0
Tools,Hot Tools,"Pro Artist Nano Ceramic Curling Irons For Smooth, Shiny Hair",$75.99,3.5,631.0
Tools,Conair,Double Ceramic 1875W Dryer,$45.99,4.3,231.0
Tools,CHI,"1"" Titanium Flat Iron",$119.99,4.9,10.0
Tools,Conair,InfinitiPRO DigitalAIRE Drying Wand,$169.99,4.6,940.0
Tools,Shark Beauty,FlexStyle Glacial Blue,$229.99,4.2,2392.0
Tools,HOURGLASS,Ambient Soft Glow Foundation Brush,$52.00,4.3,13.0
Tools,BaBylissPRO,Professional High-Speed Dual Ionic Dryer,$224.99,4.2,269.0
Tools,Hot Tools,Professional 24K Gold One Step Volumizer and Hair Dryer,$84.99,4.2,827.0
Tools,DERMAFLASH,LUXE+ Advanced Sonic Dermaplaning + Peach Fuzz Removal,$199.00,4.4,956.0
Tools,BaBylissPRO,Porcelain Ceramic Straightening Iron,$89.99,4.1,409.0
Tools,Drybar,Buttercup Blow Dryer,$99.00,3.8,465.0
Tools,Tarte,Picture Perfect Lash Curler,$25.00,4.0,1106.0
Tools,Conair,InfinitiPRO By Conair Luxe Series Full Body & Shine Pro Dryer,$74.99,4.1,244.0
Tools,ULTA Beauty Collection,Comfort Grip Eyelash Curler,$10.00,3.0,91.0
Tools,Tangle Teezer,The Ultimate Detangler,$16.99,4.6,3052.0
Tools,Drybar,The Single Shot Round Blow-Dryer Brush,$155.00,4.0,345.0
Tools,Olivia Garden,Ceramic + Ion Turbo Vent Combo Round Brush,$29.95 - $34.95,4.0,434.0
Tools,Tweezerman,Eyelash Curlers,$19.00,4.3,731.0
Tools,IT Brushes For ULTA,Airbrush Blurring Foundation Brush #101,$28.00,4.7,1349.0
Tools,BaBylissPRO,Nano Titanium Curved Styling Iron,$179.99,3.0,13.0
Tools,bareMinerals,Beautiful Finish Brush,$39.00,4.6,261.0
Tools,Kitsch,Rosewood Jumbo Satin Flexi Rods,$20.00,3.8,407.0
Tools,Morphe,M401 Dual-Ended Angled Brow Brush & Spoolie,$7.00,4.4,14.0
Tools,T3,Featherweight StyleMax Professional Hair Dryer with Automated Heat,$146.99,4.3,272.0
Tools,Morphe,M203 Tapered Powder Blush Brush,$13.00,4.9,12.0
Tools,Real Techniques,Glow Round Base Makeup Blending Brush,$12.50,4.0,61.0
Tools,Dyson,Supersonic r Hair Dryer,$549.99,4.2,1315.0
Tools,Morphe,M162 Tapered Powder Brush,$17.00,4.0,6.0
Tools,Morphe,One & Done Multifunctional Makeup Sponge,$9.00,4.3,57.0
Tools,Bushbalm,The Frankie Touch-Up Trimmer,$34.99,3.3,20.0
Tools,billie,5 Blade Razor Refills,$11.99 - $18.99,4.0,815.0
