category,brand,name,price,avg_rating,num_ratings
Eye Makeup,Benefit Cosmetics,"Precisely, My Brow Pencil Waterproof Eyebrow Definer",$28.00,4.6,8926.0
Eye Makeup,Anastasia Beverly Hills,Brow Wiz Precision Eyebrow Pencil,$26.00,4.6,22697.0
Eye Makeup,Tarte,Tartelette Tubing Mascara,$28.00,4.1,1837.0
Eye Makeup,Benefit Cosmetics,Gimme Brow+ Tinted Volumizing Eyebrow Gel,$28.00,4.7,16819.0
Eye Makeup,Urban Decay Cosmetics,24/7 Glide-On Waterproof Eyeliner Pencil,$23.00,4.5,20123.0
Eye Makeup,Too Faced,Better Than Sex Volumizing & Lengthening Mascara,$29.00,4.2,24484.0
Eye Makeup,Benefit Cosmetics,BADgal BANG! Volumizing Mascara,$29.00,4.0,4892.0
Eye Makeup,Grande Cosmetics,GrandeLASH-MD Lash Enhancing Serum,$36.00 - $68.00,4.5,6145.0
Eye Makeup,NYX Professional Makeup,Micro Brow Pencil Eyebrow Pencil,$12.00,4.4,7083.0
Eye Makeup,Anastasia Beverly Hills,Brow Definer 3-in-1 Triangle Tip Easy Precision Eyebrow Pencil,$27.00,4.5,6482.0
Eye Makeup,Tarte,Tartelette XL Tubing Mascara,$28.00,4.2,467.0
Eye Makeup,NYX Professional Makeup,The Brow Glue Laminating Setting Gel,$10.00,4.1,2539.0
Eye Makeup,Maybelline,Lash Sensational Sky High Mascara,$6.99 - $13.99,4.5,11840.0
Eye Makeup,Benefit Cosmetics,24-HR Brow Setter Clear Brow Gel with Lamination Effect,$16.00 - $28.00,4.5,2948.0
Eye Makeup,Benefit Cosmetics,Mighty Fine Brow Pen,$28.00,4.4,1175.0
Eye Makeup,NYX Professional Makeup,Epic Ink Waterproof Liquid Eyeliner,$10.00,4.2,5180.0
Eye Makeup,Benefit Cosmetics,Goof Proof Waterproof Easy Shape & Fill Eyebrow Pencil,$28.00,4.6,3770.0
Eye Makeup,MAC,Color Excess Gel Pencil Waterproof Eyeliner,$25.00,4.4,962.0
Eye Makeup,BOBBI BROWN,Long-Wear Waterproof Cream Eyeshadow Stick,$34.00,4.5,1262.0
Eye Makeup,ULTA Beauty Collection,Eyeshadow Singles,$9.00,4.2,2804.0
Eye Makeup,L'Oréal,Telescopic Original Washable Mascara,$14.99,4.1,3125.0
Eye Makeup,ILIA,Limitless Lash Lengthening Mascara,$29.00,4.6,6323.0
Eye Makeup,Clinique,Quickliner For Eyes Intense Eyeliner,$21.75,4.1,1560.0
Eye Makeup,Clinique,High Impact Volumizing Mascara,$20.25,4.5,4426.0
Eye Makeup,Rare Beauty,Brow Harmony Flexible Lifting Gel,$21.00,4.9,543.0
Eye Makeup,Morphe,ChromaPlus 6-Pan Eyeshadow Palette,$16.00,4.7,911.0
Eye Makeup,L'Oréal,Extensionist Lengthening and Curling Washable Mascara,$15.99,4.3,457.0
Eye Makeup,Essence,Lash Princess False Lash Effect Mascara,$4.99,4.2,7222.0
Eye Makeup,Morphe,Micro Brow Dual-Ended Pencil & Spoolie,$11.00,4.5,1169.0
Eye Makeup,Anastasia Beverly Hills,"DIPBROW Waterproof, Smudge Proof Brow Pomade",$25.00,4.7,31769.0
Eye Makeup,Stila,Stay All Day Smudge & Set Waterproof Gel Eye Liner,$24.00,4.7,2290.0
Eye Makeup,Urban Decay Cosmetics,24/7 Liquid Stick Retractable Waterproof Gel Eyeliner + Brush,$26.00,4.6,2386.0
Eye Makeup,Tarte,Maneater Volumizing Mascara,$28.00,4.4,5861.0
Eye Makeup,NYX Professional Makeup,The Brow Glue Crazy Lift,$12.00,4.4,578.0
Eye Makeup,Morphe,ChromaPlus 12-Pan Eyeshadow Palette,$23.00,4.8,813.0
Eye Makeup,Lancôme,Cils Booster XL Vitamin-Infused Lash Thickening Mascara Primer,$16.00 - $30.00,4.7,4487.0
Eye Makeup,Lancôme,Lash Idôle Lash-Lifting Volumizing Mascara,$30.00,4.6,19044.0
Eye Makeup,ULTA Beauty Collection,Automatic Retractable Eyeliner,$9.50,4.1,6945.0
Eye Makeup,Clinique,High Impact Gel Tech Eyeliner,$21.00,4.4,628.0
Eye Makeup,Benefit Cosmetics,Roller Lash Curling & Lifting Mascara,$16.00 - $29.00,4.4,8956.0
Eye Makeup,Clinique,Quickliner For Eyes Eyeliner,$21.75,4.4,2209.0
Eye Makeup,Too Faced,Better Than Sex Volumizing & Lengthening Waterproof Mascara,$16.00 - $29.00,3.5,5442.0
Eye Makeup,Laura Mercier,Caviar Stick Eyeshadow,$33.00,4.6,2359.0
Eye Makeup,Clinique,High Impact High-Fi Full Volume Mascara,$21.75,4.3,1653.0
Eye Makeup,Stila,Stay All Day Waterproof Liquid Eye Liner,$24.00,4.3,8652.0
Eye Makeup,L'Oréal,Voluminous Panorama Washable Mascara,$15.99,4.5,1745.0
Eye Makeup,Clinique,High Impact Shadow Play Eye Shadow + Definer,$26.25,3.3,259.0
Eye Makeup,ILIA,Eye Stylus Shadow Stick - Long-Lasting Cream Eyeshadow,$33.00,4.7,773.0
Eye Makeup,ULTA Beauty Collection,Cream Eye Shadow Stick,$10.50,4.2,1214.0
Eye Makeup,Benefit Cosmetics,"Precisely, My Brow Tinted Eyebrow Wax",$28.00,4.8,2809.0
